Number,Title,Publication Year,Labels,DOI
1,An Interpretable machine learning Model for Accurate Prediction of Sepsis in the ICU.,2018,diagnostics; infectious disease; sepsis; machine learning,
2,Clinical applications of machine learning in the survival prediction and classification of Sepsis: coagulation and heparin usage matter.,2022,diagnostics; therapeutics; infectious disease; sepsis; machine learning,
3,"Early prediction of Sepsis in intensive care patients using the machine learning algorithm NAVOY Sepsis, a prospective randomized clinical validation study.",2024,diagnostics; infectious disease; sepsis; machine learning; randomized controlled trial,
4,Explainable Deep Learning for Pulmonary Disease and Coronavirus COVID-19 Detection from X-rays.,2020,diagnostics; infectious disease; COVID-19; respiratory infection; deep learning; computer vision; radiology,
5,Malaria Detection Using Advanced Deep Learning Architecture.,2023,diagnostics; microbiology; infectious disease; malaria; deep learning,
6,Addressing antimicrobial resistance with the IDentif.AI platform: Rapidly optimizing clinically actionable combination therapy regimens against nontuberculous mycobacteria.,2022,therapeutics; microbiology; infectious disease; nontuberculous mycobacteria; Mycobacterium abscessus; MDRO; IDentif.AI platform; combination therapy optimisation; pharmacotherapy; antimicrobial; antimicrobial resistance,10.7150/thno.73078
7,Optimal use of ?-lactams in neonates: machine learning-based clinical decision support system.,2024,therapeutics; infectious disease; sepsis; machine learning; pharmacometric decision-support; paediatrics,
8,"Using machine learning to Predict Antimicrobial Resistance of Acinetobacter Baumannii, Klebsiella Pneumoniae and Pseudomonas Aeruginosa Strains.",2021,diagnostics; microbiology; infectious disease; sepsis; bloodstream infection; Klebsiella; Pseudomonas; MDRO; machine learning; antimicrobial; retrospective analysis; radiology,
9,Defining host-pathogen interactions employing an artificial intelligence workflow.,2019,diagnostics; microbiology; bacterial species (variety/broad); machine learning,
10,Predicting Clostridioides difficile infection outcomes with explainable machine learning.,2024,diagnostics; therapeutics; microbiology; infectious disease; septic shock; sepsis; Clostridium difficile; deep learning; machine learning,
11,Explainable AI unravels Sepsis heterogeneity via coagulation-inflammation profiles for prognosis and stratification.,2025,diagnostics; therapeutics; infectious disease; sepsis; deep learning,
12,Machine-assisted interpretation of auramine stains substantially increases through-put and sensitivity of microscopic tuberculosis diagnosis.,2020,diagnostics; microbiology; infectious disease; tuberculosis; machine learning; microscopy,
